Name,Formula,Solubility at 20°C
Magnesium chlorate,Mg(ClO3)2,135.0
Magnesium chloride,MgCl2,54.6
Magnesium chromate,MgCrO4,137.0
Magnesium fluoride,MgF2,0.007325
Magnesium fluorosilicate,MgSiF6,30.8
Magnesium formate,Mg(HCO2)2,14.4
Magnesium hydroxide,Mg(OH)2,0.0009628000000000001
Magnesium iodate,Mg(IO3)2,8.6
Magnesium iodide,MgI2,140.0
Magnesium molybdate,MgMoO4,13.7
Magnesium nitrate,Mg(NO3)2,69.5
Magnesium oxalate,MgC2O4,0.104
Magnesium oxide,MgO,0.009
Magnesium perchlorate,Mg(ClO4)2,49.6
Magnesium phosphate,Mg3(PO4)2,0.0002588
Magnesium selenate,MgSeO4,38.3
Magnesium selenite,MgSeO3,0.05454
Magnesium sulfate,MgSO4,35.1
Magnesium sulfite,MgSO3,0.52
Magnesium thiosulfate,MgS2O3,50.0
Maltose,C12H22O11,108.0
D-Mannose,C6H12O6,248.0
Manganese(II) bromide,MnBr2,147.0
Manganese(II) carbonate,MnCO3,4.877e-05
Manganese(II) chloride,MnCl2,73.9
Manganese(II) ferrocyanide,Mn2Fe(CN)6,0.001882
Manganese(II) fluoride,MnF2,0.96
Manganese(II) fluorosilicate,MnSiF6,140.0
Manganese(II) hydroxide,Mn(OH)2,0.0003221
Manganese(II) nitrate,Mn(NO3)2,139.0
Manganese(II) oxalate,MnC2O4·2H2O,0.028
Manganese(II) sulfate,MnSO4,62.9
Mercury(I) azide,Hg2(N3)2,0.02727
Mercury(I) bromide,Hg2Br2,1.352e-06
Mercury(I) carbonate,Hg2CO3,4.3509999999999997e-07
Mercury(I) chloride,Hg2Cl2,3.2460000000000004e-05
Mercury(I) chromate,Hg2CrO4,0.002313
Mercury(I) cyanide,Hg2(CN)2,2.266e-12
Mercury(I) perchlorate,Hg2(ClO4)2,407.0
Mercury(I) sulfate,Hg2SO4,0.04277
Mercury(II) acetate,Hg(C2H3O2)2,25.0
Mercury(II) benzoate,Hg(C7H5O2)2·H2O,1.1
Mercury(II) bromate,Hg(BrO3)2·2H2O,0.08
Mercury(II) bromide,HgBr2,0.56
Mercury(II) chlorate,Hg(ClO3)2,25.0
Mercury(II) chloride,HgCl2,6.57
Mercury(II) cyanide,Hg(CN)2,9.3
Mercury(II) iodate,Hg(IO3)2,0.002372
Mercury(II) iodide,HgI2,0.006
Mercury(II) oxalate,HgC2O4,0.011
Mercury(II) sulfide,HgS,2.9430000000000004e-25
Mercury(II) thiocyanate,Hg(SCN)2,0.063
Neodymium(III) acetate,Nd(C2H3O2)3,26.2
Neodymium(III) bromate,Nd(BrO3)3,75.6
Neodymium(III) chloride,NdCl3,98.0
Neodymium(III) molybdate,Nd2(MoO4)3,0.0019
Neodymium(III) nitrate,Nd(NO3)3,142.0
Neodymium(III) selenate,Nd2(SeO4)3,41.8
Neodymium(III) sulfate,Nd2(SO4)3,7.1
Nickel(II) acetate,Ni(C2H3O2)2,
Nickel(II) bromate,Ni(BrO3)2·6H2O,28.0
Nickel(II) bromide,NiBr2,131.0
Nickel(II) carbonate,NiCO3,0.0009643000000000001
Nickel(II) chlorate,Ni(ClO3)2,133.0
Nickel(II) chloride,NiCl2,66.8
Nickel(II) fluoride,NiF2,2.56
Nickel(II) formate,Ni(HCO2)2,3.25
Nickel(II) hydroxide,Ni(OH)2,0.013
Nickel(II) iodate,Ni(IO3)2,0.062
Nickel(II) iodide,NiI2,148.0
Nickel(II) nitrate,Ni(NO3)2,94.2
Nickel oxalate,NiC2O4·2H2O,0.00118
Nickel(II) perchlorate,Ni(ClO4)2,110.0
Nickel(II) pyrophosphate,Ni2P2O7,0.001017
Nickel(II) sulfate,NiSO4·6H2O,44.4
Nitric oxide,NO,0.0056
Nitrous oxide,N2O,0.112
Oxygen at a partial pressure of 21 kPa,O2,0.00091
Oxalic acid,H2C2O4,13.3
Palladium(II) hydroxide,Pd(OH)2,4.106e-10
Palladium(IV) hydroxide,Pd(OH)4,5.2469999999999996e-14
Phenol,C6H5OH,8.3
Platinum(II) hydroxide,Pt(OH)2,3.109e-11
Platinum(IV) bromide,PtBr4,1.352e-07
Plutonium(III) fluoride,PuF3,0.00031440000000000005
Plutonium(IV) fluoride,PuF4,0.0003622
Plutonium(IV) iodate,Pu(IO3)4,0.07998
Polonium(II) sulfide,PoS,2.378e-14
Potassium acetate,KC2H3O2,256.0
Potassium arsenate,K3AsO4,19.0
Potassium azide,KN3,50.8
Potassium benzoate,KC7H5O2,70.7
Potassium bromate,KBrO3,6.91
Potassium bromide,KBr,65.3
Potassium hexabromoplatinate,K2PtBr6,1.89
Potassium carbonate,K2CO3,111.0
Potassium chlorate,KClO3,7.3
Potassium chloride,KCl,34.2
Potassium chromate,K2CrO4,63.7
